id,path,question,a,b,c,d,answer1,answer2,answer3,answer4,answer5,answer
dev_3202.jpg,dev/dev_3202.jpg,사진에 보이는 음료 컵 중 플라스틱 재질인 컵은 몇 개인가요?,2개,3개,4개,5개,c,b,c,c,c,c
dev_3205.jpg,dev/dev_3205.jpg,사진에 보이는 재활용품 중 종이컵은 몇 개입니까?,1개,2개,3개,4개,b,a,a,a,b,b
dev_3208.jpg,dev/dev_3208.jpg,냉장고 안에 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,3개,5개,7개,9개,c,d,d,c,d,d
dev_3209.jpg,dev/dev_3209.jpg,사진 속 인도에 쌓여 있는 재활용품 상자의 개수는 몇 개인가요?,1개,2개,3개,4개,d,c,a,c,c,c
dev_3210.jpg,dev/dev_3210.jpg,사진에서 재활용 가능한 플라스틱 용기는 어디에 있나요?,왼쪽 에어컨 위에 있는 흰색 컵,오른쪽 스테인리스 싱크대 위에 있는 회색 용기,왼쪽 에어컨 위에 있는 큰 도자기 항아리,오른쪽 스테인리스 싱크대 위에 있는 분홍색 바구니,a,d,b,d,d,d
dev_3211.jpg,dev/dev_3211.jpg,이 사진에서 관중석 테이블 위에 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,b,d,b,b,c,b
dev_3212.jpg,dev/dev_3212.jpg,사진 속 상자 안에 들어있는 재활용품의 재질은 무엇인가요?,플라스틱,종이,스티로폼,종이팩,b,c,b,b,c,b
dev_3213.jpg,dev/dev_3213.jpg,사진에 보이는 생수 페트병은 총 몇 개입니까?,24개,30개,36개,40개,a,d,d,d,d,d
dev_3214.jpg,dev/dev_3214.jpg,자전거 바구니 안에 보이는 재활용품 중 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개 이상,d,c,d,d,c,d
dev_3215.jpg,dev/dev_3215.jpg,사진 속 재활용 가능한 플라스틱 컵과 빨대는 몇 개인가요?,1개,2개,3개,4개,a,a,c,c,a,a
